41441rc, ART 1101  004rd, Mainre, 3rf, Introduction to Beginning Ceramics for Non Tyler BFA Majorsrg, Monday WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Tyler School of Art Room: 0150J Start Date: 01 13 2020 End Date: 05 06 2020rh, FULL: 0 of 16 seats remain  96 of 100 waitlist seats remain ri, Yelizaveta Masalimova  Primary  rj, 
41175ro, ART 1201  001rp, Mainr, 3rr, Introduction to Fibers for Non Tyler BFA Majorsrs, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 00250 Start Date: 01 13 2020 End Date: 05 06 2020rt, FULL: 0 of 15 seats remain  96 of 100 waitlist seats remain ru, Susannah Dotson  Primary  rv, 
41176r, ART 1201  002r, Mainr, 3r, Introduction to Fibers for Non Tyler BFA Majorsr, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 00250 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  99 of 100 waitlist seats remain r, Susannah Dotson  Primary  r, 
41177r, ART 1201  003r, Mainr, 3r, Introduction to Fibers for Non Tyler BFA Majorsr, Tuesday ThursdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0250E Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  95 of 100 waitlist seats remain r, Frances Beaver  Primary  r, 
41178r, ART 1201  004r, Mainr, 3r, Introduction to Fibers for Non Tyler BFA Majorsr, Tuesday ThursdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Tyler School of Art Room: 00250 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, No  l Pu  llo  Primary  r, 
41505r, ART 1301  001r, Mainr, 3r, Introduction to Glass for Non Tyler BFA Majorsr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  100 of 100 waitlist seats remain r, Kristen N  Taylor  Primary  r, 
41506r, ART 1301  002r, Mainr, 3r, Introduction to Glass for Non Tyler BFA Majorsr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   5 of 16 seats remain 100 of 100 waitlist seats remain r    h, 1r,
41507r, ART 1301  003r, Mainr, 3r, Introduction to Glass for Non Tyler BFA Majorsr, Monday WednesdaySMTWTFS10:40  AM   01:10  PM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   1 of 16 seats remain 100 of 100 waitlist seats remain r, Kristen N  Taylor  Primary  r, 
41508r, ART 1301  004r, Mainr, 3r, Introduction to Glass for Non Tyler BFA Majorsr, Monday WednesdaySMTWTFS10:40  AM   01:10  PM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  100 of 100 waitlist seats remain r    h, 1r,
41509r, ART 1301  005r, Mainr, 3r, Introduction to Glass for Non Tyler BFA Majorsr, Tuesday ThursdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  99 of 100 waitlist seats remain r    h, 1r,
41510r, ART 1301  006r, Mainr, 3r, Introduction to Glass for Non Tyler BFA Majorsr, Tuesday ThursdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  100 of 100 waitlist seats remain r    h, 1r,
41535r, ART 1401  001r, Mainr, 3r, 2   Introduction to Jewelry for Non Tyler BFA Studentsr, Tuesday ThursdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 00220 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  94 of 100 waitlist seats remain r, Maureen T  Duffy  Primary  r, 
41835r, ART 1501  551r, Romer, 3r, Painting on Paper for Non Tyler BFA Studentsr, w   ThursdaySMTWTFS08:00  AM   01:00  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020r, FULL: 0 of 10 seats remain  96 of 100 waitlist seats remain r, Ana M  Guerra  Primary  r, 
41200r, ART 1502  001r, Mainr, 3r, Topic: Oil Paintingr, Monday WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Tyler School of Art Room: 0300K Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  98 of 100 waitlist seats remain r    h, 1r, 
41202r, ART 1502  002r, Mainr, 3r, Topic: Acrylic Paintingr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0300K Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Samantha Simpson  Primary  r, 45 00r
41921r, ART 1503  001r, Mainr, 3r, Introduction to Visual Language  Drawingr, Tuesday ThursdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0230H Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Matthew L  Colaizzo  Primary  r, 45 00r
41922r, ART 1503  002r, Mainr, 3r, Introduction to Visual Language  Drawingr, Tuesday ThursdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0230D Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Simona M  Josan Barkley  Primary  r, 45 00r
41836r, ART 1503  551r, Romer0, 3r1, Introduction to Visual Language  Drawingr2, x   WednesdaySMTWTFS08:00  AM   01:00  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020r3, 6   5 of 10 seats remain 100 of 100 waitlist seats remain r4, Katherine Krizek  Primary  r5, 63 00r8
41203r, ART 1504  001r, Mainr, 3r, Philadelphia Sketchbookr, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 0300L Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 12 seats remain  97 of 100 waitlist seats remain rA, Bianca E  Schreiber  Primary  rB, 
41204rG, ART 1504  002rH, MainrI, 3rJ, Philadelphia SketchbookrK, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0300L Start Date: 01 13 2020 End Date: 05 06 2020rL, FULL: 0 of 12 seats remain  99 of 100 waitlist seats remain rM, Anthony Coplan  Primary  rN, 
41206rS, ART 1504  003rT, MainrU, 3rV, Philadelphia SketchbookrW, Tuesday ThursdaySMTWTFS12:30  PM   03:00  PM Type:  Class Building: Tyler School of Art Room: 0300L Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 12 seats remain  100 of 100 waitlist seats remain rY   h, 1r,
41459r^, ART 1602  001r, Mainr, 3ra, Art Photography: Digitalrb, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: B030S Start Date: 01 13 2020 End Date: 05 06 2020rc, FULL: 0 of 16 seats remain  100 of 100 waitlist seats remain rd, Kaitlin Santoro  Primary  re, 
41460rj, ART 1602  002rk, Mainrl, 3rm, Art Photography: Digitalrn, Tuesday ThursdaySMTWTFS03:30  PM   06:00  PM Type:  Class Building: Tyler School of Art Room: B030S Start Date: 01 13 2020 End Date: 05 06 2020ro, 6   8 of 16 seats remain 100 of 100 waitlist seats remain rp, Hazziza Q  Abdullah  Primary  r, 
41457rv, ART 1603  701rw, Mainrx, 3ry, Art Photography   Digital On Linerz, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  95 of 100 waitlist seats remain r, Daniel S  Kraus  Primary  r,
41458r, ART 1603  702r, Mainr, 3r, Art Photography   Digital On Liner, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  96 of 100 waitlist seats remain r, Margaret A  Flanigan  Primary  r,
41491r, ART 1701  001r, Mainr, 3r, Screenprintingr, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0260N Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Alyssa Piro  Primary  r, 
41495r, ART 1702  001r, Mainr, 3r, Artist Books  Zines and Independent Publishingr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0260M Start Date: 01 13 2020 End Date: 05 06 2020r, 6   7 of 15 seats remain 100 of 100 waitlist seats remain r, Alyssa Piro  Primary  r, 
41435r, ART 2101  001r, Mainr, 3r, Beginning Ceramicsr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0150J Start Date: 01 13 2020 End Date: 05 06 2020r, 6   1 of 16 seats remain 100 of 100 waitlist seats remain r, Teddy Poneman  Primary  r, 
41439r, ART 2101  002r, Mainr, 3r, Beginning Ceramicsr, Tuesday ThursdaySMTWTFS12:30  PM   03:00  PM Type:  Class Building: Tyler School of Art Room: 0150K Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  100 of 100 waitlist seats remain r, Peter Morgan  Primary  r, 
41440r, ART 2101  003r, Mainr, 3r, Beginning Ceramicsr, Tuesday ThursdaySMTWTFS03:30  PM   06:00  PM Type:  Class Building: Tyler School of Art Room: 0150J Start Date: 01 13 2020 End Date: 05 06 2020r, 6   4 of 16 seats remain 100 of 100 waitlist seats remain r, Leonor Marion Landais  Primary  r, 
41442r, ART 2101  004r, Mainr, 3r, Beginning Ceramicsr, Monday WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Tyler School of Art Room: 0150K Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  100 of 100 waitlist seats remain r, Natalie Kuenzi  Primary  r, 
41449r, ART 2102  001r, Mainr, 3r, Intermediate Ceramicsr, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0150J Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  100 of 100 waitlist seats remain r, Lauren Sandler  Primary  r, 
41179r, ART 2201  001r, Mainr, 3r, Introduction to Fibers and Material Studiesr, Tuesday ThursdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 00250 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  98 of 100 waitlist seats remain r, Delaney DeMott  Primary  r, 
41180r, ART 2201  002r, Mainr, 3r, Introduction to Fibers and Material Studiesr, Tuesday ThursdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0250E Start Date: 01 13 2020 End Date: 05 06 2020r, 6   2 of 15 seats remain 100 of 100 waitlist seats remain r, Delaney DeMott  Primary  r, 
41181r, ART 2201  003r, Mainr, 3r, Introduction to Fibers and Material Studiesr, Tuesday ThursdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Tyler School of Art Room: 00250 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   5 of 15 seats remain 100 of 100 waitlist seats remain r, Delaney DeMott  Primary  r, 
41182r, ART 2201  004r, Mainr, 3r, Introduction to Fibers and Material Studiesr, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 00250 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Dain DeltaDawn  Primary  r, 
41183r, ART 2201  005r, Mainr, 3r, Introduction to Fibers and Material Studiesr, Tuesday ThursdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Tyler School of Art Room: 00250 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   12 of 15 seats remain 100 of 100 waitlist seats remain r, Kelly E  Kuykendall  Primary  r, 
41511r, ART 2301  001r, Mainr, 3r, Introduction to Glassr, Monday WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   11 of 16 seats remain 100 of 100 waitlist seats remain r, Victoria M  Ahmadizadeh  Primary  r, 
41512r, ART 2301  002r, Mainr, 3r, Introduction to Glassr, Tuesday ThursdaySMTWTFS12:30  PM   03:00  PM Type:  Class Building: Tyler School of Art Room: 0120A Start Date: 01 13 2020 End Date: 05 06 2020r, 6   8 of 16 seats remain 100 of 100 waitlist seats remain r, Megan Biddle  Primary  r, 
41513r4, ART 2301  003r5, Mainr6, 3r7, Introduction to Glassr8, Tuesday ThursdaySMTWTFS03:30  PM   06:00  PM Type:  Class Building: Tyler School of Art Room: 0120A Start Date: 01 13 2020 End Date: 05 06 2020r9, 7   12 of 16 seats remain 100 of 100 waitlist seats remain r:, Jessica J  Julius  Primary  r, 
41514r, ART 2302  001rA, MainrB, 3rC, Intermediate GlassrD, FridaySMTWTFS09:00  AM   02:00  PM Type:  Class Building: Tyler School of Art Room: 0120A Start Date: 01 13 2020 End Date: 05 06 2020rE, 6   5 of 16 seats remain 100 of 100 waitlist seats remain rF, Amber Cowan  Primary  rG, 
41515rL, ART 2303  001rM, MainrN, 3rO, Glass Construction  Topic: Cold GlassrP, FridaySMTWTFS12:00  PM   05:00  PM Type:  Class Building: Tyler School of Art Room: 00121 Start Date: 01 13 2020 End Date: 05 06 2020rQ, 6   7 of 8 seats remain  100 of 100 waitlist seats remain rR, Leo Tecosky  Primary  rS, 
41712r, ART 2401  001rY, MainrZ, 3r, Jewelryr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 00220 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  99 of 100 waitlist seats remain r^, Mallory Weston  Primary  r, 
41531rd, ART 2402  002re, Mainrf, 3rg, :   CAD CAM I Computer Aided Design Computer Aided Manufacturerh, Monday WednesdaySMTWTFS10:40  AM   01:10  PM Type:  Class Building: Tyler School of Art Room: 0220B Start Date: 01 13 2020 End Date: 05 06 2020ri, 6   1 of 8 seats remain  100 of 100 waitlist seats remain rj, Barbara J  Baur  Primary  rk, 
41533rp, ART 2403  001r, Mainrr, 3rs, Jewelry IIrt, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 00220 Start Date: 01 13 2020 End Date: 05 06 2020ru, 6   1 of 15 seats remain 100 of 100 waitlist seats remain rv, Mallory Weston  Primary  rw, 
41528r, ART 2404  001r, Mainr, 3r, CAD CAM II Computer Aided Design Computer Aided Manufacturer, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0220B Start Date: 01 13 2020 End Date: 05 06 2020r, 6   5 of 15 seats remain 100 of 100 waitlist seats remain r    h, 1r,
41207r, ART 2501  001r, Mainr, 3r, Paintingr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0300M Start Date: 01 13 2020 End Date: 05 06 2020r, 6   5 of 15 seats remain 100 of 100 waitlist seats remain r, Mark Shetabi  Primary  r, 
41208r, ART 2501  002r, Mainr, 3r, Paintingr, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 0300M Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  95 of 100 waitlist seats remain r, Matthew Sepielli  Primary  r, 
41209r, ART 2501  003r, Mainr, 3r, Paintingr, Tuesday ThursdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0300M Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Lauren A  Whearty  Primary  r, 
41210r, ART 2502  001r, Mainr, 3r, Intermediate Drawingr, Tuesday ThursdaySMTWTFS03:30  PM   06:00  PM Type:  Class Building: Tyler School of Art Room: 0300P Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  99 of 100 waitlist seats remain r, Dona R  Nelson  Primary  r, 
41211r, ART 2502  002r, Mainr, 3r, Intermediate Drawingr, FridaySMTWTFS12:00  PM   05:00  PM Type:  Class Building: Tyler School of Art Room: 0300P Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  99 of 100 waitlist seats remain r, Kati Gegenheimer  Primary  r, 
41834r, ART 2505  551r, Romer, 3r, Painting Materials and Techni, uesr, Sunday SaturdaySMTWTFS00:00  AM   11:59  PM Type:  Class Building: None Room: None Start Date: 04 04 2020 End Date: 04 05 2020FridaySMTWTFS08:00  AM   11:59  PM Type:  Class Building: None Room: None Start Date: 02 14 2020 End Date: 02 14 2020FridaySMTWTFS08:00  AM   11:59  PM Type:  Class Building: None Room: None Start Date: 04 03 2020 End Date: 04 03 2020Tuesday ThursdaySMTWTFS03:40  PM   06:10  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020r, 7   7 of 10 seats remain  100 of 100 waitlist seats remain r, S01r
41461r, ART 2601  001r, Mainr, 3r, Photo I: Digitalr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: B030S Start Date: 01 13 2020 End Date: 05 06 2020r, 6   4 of 16 seats remain 100 of 100 waitlist seats remain r, Keith Yahrling  Primary  r, 
41462r, ART 2601  002r, Mainr, 3r, Photo I: Digitalr, FridaySMTWTFS09:00  AM   02:30  PM Type:  Class Building: Tyler School of Art Room: B030S Start Date: 01 13 2020 End Date: 05 06 2020r, 6   9 of 16 seats remain 100 of 100 waitlist seats remain r, Adam Ekberg  Primary  r, 
41463r, ART 2602  001r, Mainr, 3r, Digital Imagingr, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: B030S Start Date: 01 13 2020 End Date: 05 06 2020r, 6   5 of 16 seats remain 100 of 100 waitlist seats remain r, Mark Winicov  Primary  r, 
41464r, ART 2602  002r, Mainr, 3r, Digital Imagingr, Tuesday ThursdaySMTWTFS08:20  AM   10:50  AM Type:  Class Building: Tyler School of Art Room: B030S Start Date: 01 13 2020 End Date: 05 06 2020r, 6   6 of 16 seats remain 100 of 100 waitlist seats remain r, Rebecca Michaels  Primary  r, 
41842r, ART 2603  551r, Romer, 3r, Photo I: Digitalr, x   WednesdaySMTWTFS08:00  AM   01:00  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020r, FULL: 0 of 12 seats remain  96 of 100 waitlist seats remain r, Liana Miuccio  Primary  r, 
41843r, ART 2603  552r, Romer, 3r, Photo I: Digitalr, u   MondaySMTWTFS08:00  AM   01:00  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020r, FULL: 0 of 12 seats remain  99 of 100 waitlist seats remain r, Marina Buening  Primary  r, 
41451r, ART 2604  701r, Mainr, 3r, 3   Introduction to Photography  Online Digital Course r, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  93 of 100 waitlist seats remain r, Daniel S  Kraus  Primary  r,
41452r, ART 2604  702r, Mainr, 3r, 3   Introduction to Photography  Online Digital Course r, r   NoneSMTWTFS    Type:  Online course activity Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 16 seats remain  97 of 100 waitlist seats remain r, Haigen G  Pearson  Primary  r,
41453r, ART 2604  703r, Mainr, 3r0, 3   Introduction to Photography  Online Digital Course r1, r   NoneSMTWTFS    Type:  Online course activity Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r2, FULL: 0 of 16 seats remain  97 of 100 waitlist seats remain r3, Tamsen A  Wojtanowski  Primary  r4,
41485r8, ART 2701  001r9, Mainr:, 3r, Survey of Lithography and Serigraphyr, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 0260M Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  99 of 100 waitlist seats remain r, Amy V  Cousins  Primary  r, 
41486rD, ART 2702  001rE, MainrF, 3rG, Survey of Etching and ReliefrH, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 0260L Start Date: 01 13 2020 End Date: 05 06 2020rI, FULL: 0 of 15 seats remain  99 of 100 waitlist seats remain rJ, Richard Hricko  Primary  rK, 
42540rP, ART 2702  002rQ, MainrR, 3rS, Survey of Etching and ReliefrT, Tuesday ThursdaySMTWTFS03:30  PM   06:00  PM Type:  Studio Building: Tyler School of Art Room: 0260L Start Date: 01 13 2020 End Date: 05 06 2020rU, 7   11 of 15 seats remain 100 of 100 waitlist seats remain rV, Amze Emmons  Primary  rW, 
42340r, ART 2702  551r, Romer^, 3r, Survey of Etching and Reliefr, FridaySMTWTFS08:00  AM   11:59  PM Type:  Class Building: None Room: None Start Date: 02 14 2020 End Date: 02 14 2020Tuesday ThursdaySMTWTFS03:40  PM   05:10  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020ra, 7   3 of 10 seats remain  100 of 100 waitlist seats remain rb, Devin K  Kovach  Primary  rc, 
42229rh, ART 2703  001ri, Mainrj, 3rk, Book Structuresrl, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0260L Start Date: 01 13 2020 End Date: 05 06 2020rm, FULL: 0 of 15 seats remain  99 of 100 waitlist seats remain rn, Marisha Simons  Primary  ro, 
41846rs, ART 2703  551rt, Romeru, 3rv, Book Structuresrw, FridaySMTWTFS08:00  AM   11:59  PM Type:  Class Building: None Room: None Start Date: 02 14 2020 End Date: 02 14 2020WednesdaySMTWTFS03:40  PM   08:20  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020rx, FULL: 0 of 10 seats remain  99 of 100 waitlist seats remain ry, Devin K  Kovach  Primary  rz, 
41487r, ART 2704  001r, Mainr, 3r, Serigraphyr, Tuesday ThursdaySMTWTFS08:20  AM   10:50  AM Type:  Class Building: Tyler School of Art Room: 0260N Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  98 of 100 waitlist seats remain r, Hester Stinnett  Primary  r, 
41488r, ART 2704  002r, Mainr, 3r, Serigraphyr, Tuesday ThursdaySMTWTFS03:30  PM   06:00  PM Type:  Class Building: Tyler School of Art Room: 0260N Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  98 of 100 waitlist seats remain r, Hester Stinnett  Primary  r, 
41489r, ART 2705  001r, Mainr, 3r, Etchingr, Monday WednesdaySMTWTFS08:00  AM   10:30  AM Type:  Class Building: Tyler School of Art Room: 0260L Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Richard Hricko  Primary  r, 
41490r, ART 2707  001r, Mainr, 3r, Lithographyr, Tuesday ThursdaySMTWTFS03:30  PM   06:00  PM Type:  Class Building: Tyler School of Art Room: 0260M Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain r, Galen Gibson Cornell  Primary  r, 
42418r, ART 2745  551r, Romer, 3r, Contemporary Papermaking in Romer, ThursdaySMTWTFS08:00  AM   01:00  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020FridaySMTWTFS08:00  AM   11:59  PM Type:  Class Building: None Room: None Start Date: 02 14 2020 End Date: 02 14 2020r, 7   6 of 10 seats remain  100 of 100 waitlist seats remain r, Roberto Mannino  Primary  r, 
41702r, ART 2801  001r, Mainr, 3r, Sculpturer, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 00130 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   2 of 15 seats remain 100 of 100 waitlist seats remain r, Tim Rusterholz  Primary  r, 
41703r, ART 2801  002r, Mainr, 3r, Sculpturer, Tuesday ThursdaySMTWTFS07:20  PM   09:50  PM Type:  Class Building: Tyler School of Art Room: 00130 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   11 of 15 seats remain 100 of 100 waitlist seats remain r, Misha Wyllie  Primary  r, 
41704r, ART 2802  001r, Mainr, 3r, Video Workshopr, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 00126 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 8 seats remain  99 of 100 waitlist seats remain r, C T  Jasper  Primary  r, 
41837r, ART 2808  551r, Romer, 3r, Dimensional Figure Modeling in Romer, v   TuesdaySMTWTFS08:00  AM   01:00  PM Type:  Class Building: None Room: None Start Date: 01 20 2020 End Date: 04 24 2020r, 6   2 of 10 seats remain 100 of 100 waitlist seats remain r, Roberto Mannino  Primary  r, 
41466r, ART 2901  001r, Mainr, 3r, Honors Digital Imaging: Seeing Photographicallyr, Tuesday ThursdaySMTWTFS12:30  PM   03:00  PM Type:  Class Building: Tyler School of Art Room: B030S Start Date: 01 13 2020 End Date: 05 06 2020r, 6   9 of 16 seats remain 100 of 100 waitlist seats remain r, Rebecca Michaels  Primary  r, 80 00r
41497r, ART 3085  001r, Mainr, 3r, Field Internshipr, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, 5   5 of 5 seats remain 100 of 100 waitlist seats remain r    h, ,
41715r, ART 3085  002r, Mainr, 3r, Field Internshipr, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, 5   5 of 5 seats remain 100 of 100 waitlist seats remain r, Douglas J  Bucci  Primary  r,
41443r, ART 3101  001r, Mainr, 3r, Advanced Ceramicsr, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0150I Start Date: 01 13 2020 End Date: 05 06 2020r, 6   6 of 16 seats remain 100 of 100 waitlist seats remain r, George Rodriguez  Primary  r, 
41445r, ART 3107  001r, Mainr, 3r, Introduction to Mold Makingr, Monday WednesdaySMTWTFS12:00  PM   02:30  PM Type:  Class Building: Tyler School of Art Room: 0150J Start Date: 01 13 2020 End Date: 05 06 2020r, 6   5 of 16 seats remain 100 of 100 waitlist seats remain r, Charles Cunningham  Primary  r, 
41448r, ART 3110  001r, Mainr, 3r, Ceramic Structuresr, Tuesday ThursdaySMTWTFS12:30  PM   03:00  PM Type:  Class Building: Tyler School of Art Room: 0150J Start Date: 01 13 2020 End Date: 05 06 2020r, 6   6 of 16 seats remain 100 of 100 waitlist seats remain r, George Rodriguez  Primary  r, 
41189r1, ART 3204  001r2, Mainr3, 3r4, Woven Structure IIr5, Monday WednesdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0250K Start Date: 01 13 2020 End Date: 05 06 2020r6, 7   8 of 10 seats remain  100 of 100 waitlist seats remain r7, Dain DeltaDawn  Primary  r8, 
41188r, ART 3205  001r, Mainr, 3r, Body Art and AdornmentrA, Tuesday ThursdaySMTWTFS02:40  PM   05:10  PM Type:  Class Building: Tyler School of Art Room: 0250E Start Date: 01 13 2020 End Date: 05 06 2020rB, FULL: 0 of 15 seats remain  100 of 100 waitlist seats remain rC, Tim Belknap  Primary  rD, 
